"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031983","CC","GO:0031983","vesicle lumen","14/140","327/19550",9.94257676714223e-08,6.14782663434961e-06,4.20379122961628e-06,"CTSA/GNS/B2M/TIMP2/FN1/XRCC5/APP/PTX3/TXNDC5/HSP90AB1/VCP/GSN/SPTAN1/DDX3X",14
"GO:0042470","CC","GO:0042470","melanosome","8/140","109/19550",1.16941904669804e-06,5.42318082906218e-05,3.70828934545038e-05,"PRDX1/ATP1A1/ITGB1/GANAB/HSP90B1/P4HB/HSP90AB1/CTSB",8
"GO:0048770","CC","GO:0048770","pigment granule","8/140","109/19550",1.16941904669804e-06,5.42318082906218e-05,3.70828934545038e-05,"PRDX1/ATP1A1/ITGB1/GANAB/HSP90B1/P4HB/HSP90AB1/CTSB",8
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","14/140","425/19550",2.29785569195521e-06,9.47227179683757e-05,6.47699674574509e-05,"HSP90B1/POSTN/COL4A1/FBLN5/FBN1/COL1A1/TIMP2/COL5A2/FN1/SERPINE2/COL6A3/LAMB1/CTSB/COL4A6",14
"GO:1904813","CC","GO:1904813","ficolin-1-rich granule lumen","8/140","124/19550",3.09708355728773e-06,0.000114901799975375,7.85681197164573e-05,"GNS/TIMP2/YPEL5/HSP90AB1/CTSB/VCP/GSN/DDX3X",8
"GO:0098644","CC","GO:0098644","complex of collagen trimers","4/140","21/19550",1.3715297055185e-05,0.000462579564315786,0.000316304936870774,"COL4A1/COL1A1/COL5A2/COL4A6",4
"GO:0030027","CC","GO:0030027","lamellipodium","9/140","202/19550",1.53182761327061e-05,0.00047359003710283,0.000323833732279138,"ITGB1/CORO1C/CDC42BPB/GIT1/P4HB/APP/CTNNB1/PABPC1/DDX3X",9
"GO:0140534","CC","GO:0140534","endoplasmic reticulum protein-containing complex","7/140","125/19550",3.27896931431641e-05,0.000935767396624145,0.000639863647571057,"SEL1L/GANAB/HSP90B1/B2M/P4HB/UFD1/VCP",7
"GO:1904724","CC","GO:1904724","tertiary granule lumen","5/140","55/19550",4.57330553852797e-05,0.00121192596770991,0.000828696717883639,"B2M/TIMP2/YPEL5/PTX3/SPTAN1",5
"GO:0031252","CC","GO:0031252","cell leading edge","12/140","422/19550",5.29724658000206e-05,0.00131018565412051,0.000895885211074032,"CDC42/ITGB1/ITGA5/CORO1C/CDC42BPB/GIT1/P4HB/APP/CTNNB1/ARF4/PABPC1/DDX3X",12
"GO:0101002","CC","GO:0101002","ficolin-1-rich granule","8/140","185/19550",5.69807966119869e-05,0.00132124222144045,0.000903445525229528,"GNS/TIMP2/YPEL5/HSP90AB1/CTSB/VCP/GSN/DDX3X",8
"GO:0042383","CC","GO:0042383","sarcolemma","7/140","138/19550",6.16807244004869e-05,0.00134609110309298,0.000920436816131106,"ATP1A1/ITGB1/PPP3CB/SLC38A2/CORO1C/BIN1/COL6A3",7
"GO:0031904","CC","GO:0031904","endosome lumen","4/140","35/19550",0.000111008838624294,0.00228801550720072,0.00156451053265818,"B2M/APP/LRPAP1/CTSB",4
"GO:0045177","CC","GO:0045177","apical part of cell","11/140","435/19550",0.000302328516463447,0.00590336208462836,0.00403663005361167,"PTEN/CDC42/ATP1A1/FN1/IGFBP2/APP/CTNNB1/HSP90AB1/CTSB/PCM1/FZD6",11
"GO:0005938","CC","GO:0005938","cell cortex","9/140","308/19550",0.000384002077412517,0.00682066329201143,0.00466386679919068,"LASP1/CORO1C/SEPTIN9/TPM4/CTNNB1/FRYL/ASPH/GSN/SPTAN1",9
"GO:0005581","CC","GO:0005581","collagen trimer","5/140","87/19550",0.000404459817855125,0.00682066329201143,0.00466386679919068,"COL4A1/COL1A1/COL5A2/COL6A3/COL4A6",5
"GO:0071013","CC","GO:0071013","catalytic step 2 spliceosome","5/140","87/19550",0.000404459817855125,0.00682066329201143,0.00466386679919068,"SF3B3/HNRNPA3/SF3B1/SYNCRIP/PABPC1",5
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","10/138","172/18368",7.02841291497437e-07,0.000282904580980389,0.000243779101309567,"POSTN/COL4A1/FBLN5/FBN1/COL1A1/COL5A2/FN1/COL6A3/LAMB1/COL4A6",10
"GO:0045296","MF","GO:0045296","cadherin binding","13/138","332/18368",1.35037986148157e-06,0.000282904580980389,0.000243779101309567,"LASP1/RANGAP1/PSMB6/PRDX1/KIF5B/ITGB1/EEF1G/SEPTIN9/CTNNB1/RACK1/HSP90AB1/SPTAN1/DDX3X",13
"GO:0005178","MF","GO:0005178","integrin binding","8/138","144/18368",1.32077372974795e-05,0.00140583648271402,0.00121141040967443,"ISG15/ITGB1/FBLN5/FBN1/TIMP2/P4HB/FN1/LAMB1",8
"GO:0030020","MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength","5/138","41/18368",1.34208733433319e-05,0.00140583648271402,0.00121141040967443,"COL4A1/COL1A1/COL5A2/COL6A3/COL4A6",5
"GO:0002020","MF","GO:0002020","protease binding","7/138","135/18368",7.21841645338723e-05,0.0060490329879385,0.00521245651265646,"PTEN/ITGB1/COL1A1/TIMP2/BIN1/FN1/VCP",7
